Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,ë£ Original Estimate,ë£ Remaining Estimate,ë£ Time Spent,Security Level,Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Container),Outward issue link (Duplicate),Outward issue link (Incorporates),Outward issue link (Incorporates),Outward issue link (Incorporates),Outward issue link (Incorporates),Outward issue link (Problem/Incident),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Regression),Outward issue link (Regression),Outward issue link (Required),Outward issue link (Supercedes),Outward issue link (Supercedes),Outward issue link (Supercedes),Outward issue link (Supercedes),Outward issue link (dependent),Outward issue link (dependent),Outward issue link (dependent),Outward issue link (dependent),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Flags),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (Hadoop Flags),Custom field (Hadoop Flags),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note),Custom field (Severity),Custom field (Severity),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name)
RBF: Print stacktrace when DFSRouter fails to fetch/parse JMX output from NameNode,HDFS-15100,13278086,13241304,Sub-task,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Major,Fixed,aajisaka,aajisaka,aajisaka,08/Jan/20 08:11,10/Jan/20 04:31,18/Jan/20 01:03,10/Jan/20 04:18,,,,,,3.3.0,,,,,,,rbf,,,,,,0,supportability,,"When DFSRouter fails to fetch or parse JMX output from NameNode, it prints only the error message. Therefore we had to modify the source code to print the stacktrace of the exception to find the root cause.",,aajisaka,ayushsaxena,elgoiri,hudson,John Smith,tasanuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,2020-01-08 14:01:15.608,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Fri Jan 10 04:31:43 UTC 2020,,,,,,0|z0aacg:,9223372036854775807,,,,,,,
Optimize log information when DFSInputStream meet CannotObtainBlockLengthException,HDFS-15050,13273879,,Improvement,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Major,Fixed,hexiaoqiao,hexiaoqiao,hexiaoqiao,11/Dec/19 13:17,12/Dec/19 11:26,18/Jan/20 01:03,12/Dec/19 10:26,,,,,,2.10.1,2.9.3,3.1.4,3.2.2,3.3.0,,,dfsclient,,,,,,0,,,"We could not identify which file it belongs easily when DFSInputStream meet CannotObtainBlockLengthException, as the following exception log. Just suggest to log file path string when we meet CannotObtainBlockLengthException.
{code:java}
Caused by: java.io.IOException: Cannot obtain block length for LocatedBlock{BP-***:blk_***_***; getBlockSize()=690504; corrupt=false; offset=1811939328; locs=[DatanodeInfoWithStorage[*:50010,DS-2bcadcc4-458a-45c6-a91b-8461bf7cdd71,DISK], DatanodeInfoWithStorage[*:50010,DS-8f2bb259-ecb2-4839-8769-4a0523360d58,DISK], DatanodeInfoWithStorage[*:50010,DS-69f4de6f-2428-42ff-9486-98c2544b1ada,DISK]]}
	at org.apache.hadoop.hdfs.DFSInputStream.readBlockLength(DFSInputStream.java:402)
	at org.apache.hadoop.hdfs.DFSInputStream.fetchLocatedBlocksAndGetLastBlockLength(DFSInputStream.java:345)
	at org.apache.hadoop.hdfs.DFSInputStream.openInfo(DFSInputStream.java:280)
	at org.apache.hadoop.hdfs.DFSInputStream.<init>(DFSInputStream.java:272)
	at org.apache.hadoop.hdfs.DFSClient.open(DFSClient.java:1664)
	at org.apache.hadoop.hdfs.DistributedFileSystem$3.doCall(DistributedFileSystem.java:304)
	at org.apache.hadoop.hdfs.DistributedFileSystem$3.doCall(DistributedFileSystem.java:300)
	at org.apache.hadoop.fs.FileSystemLinkResolver.resolve(FileSystemLinkResolver.java:81)
	at org.apache.hadoop.hdfs.DistributedFileSystem.open(DistributedFileSystem.java:300)
	at org.apache.hadoop.fs.FilterFileSystem.open(FilterFileSystem.java:161)
	at org.apache.hadoop.fs.viewfs.ChRootedFileSystem.open(ChRootedFileSystem.java:266)
	at org.apache.hadoop.fs.viewfs.ViewFileSystem.open(ViewFileSystem.java:481)
	at org.apache.hadoop.fs.FileSystem.open(FileSystem.java:828)
	at org.apache.hadoop.mapred.LineRecordReader.<init>(LineRecordReader.java:109)
	at org.apache.hadoop.mapred.TextInputFormat.getRecordReader(TextInputFormat.java:67)
	at org.apache.hadoop.hive.ql.io.CombineHiveRecordReader.<init>(CombineHiveRecordReader.java:65)
	... 16 more
{code}",,hexiaoqiao,hudson,weichiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/Dec/19 13:18;hexiaoqiao;HDFS-15050.001.patch;https://issues.apache.org/jira/secure/attachment/12988539/HDFS-15050.001.patch,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2019-12-11 14:16:07.777,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Thu Dec 12 10:38:47 UTC 2019,,,,,,0|z09ke8:,9223372036854775807,,,,,,,
NN fails to parse Edit logs after applying HDFS-13101,HDFS-15012,13270559,,Bug,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Blocker,Fixed,shashikant,ericlin,ericlin,25/Nov/19 23:23,18/Dec/19 18:12,18/Jan/20 01:03,18/Dec/19 18:11,,,,,,2.10.0,2.8.0,2.9.0,3.1.0,3.2.0,3.3.0,,nn,,,,,,0,release-blocker,,"After applying HDFS-13101, and deleting and creating large number of snapshots, SNN exited with below error:
  

{code:sh}
2019-11-18 08:28:06,528 ERROR org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: Encountered exception on operation DeleteSnapshotOp [snapshotRoot=/path/to/hdfs/file, snapshotName=distcp-3479-31-old, RpcClientId=b16a6cb5-bdbb-45ae-9f9a-f7dc57931f37, Rpc
CallId=1]
java.lang.AssertionError: Element already exists: element=partition_isactive=true, DELETED=[partition_isactive=true]
        at org.apache.hadoop.hdfs.util.Diff.insert(Diff.java:193)
        at org.apache.hadoop.hdfs.util.Diff.delete(Diff.java:239)
        at org.apache.hadoop.hdfs.util.Diff.combinePosterior(Diff.java:462)
        at org.apache.hadoop.hdfs.server.namenode.snapshot.DirectoryWithSnapshotFeature$DirectoryDiff$2.initChildren(DirectoryWithSnapshotFeature.java:240)
        at org.apache.hadoop.hdfs.server.namenode.snapshot.DirectoryWithSnapshotFeature$DirectoryDiff$2.iterator(DirectoryWithSnapshotFeature.java:250)
        at org.apache.hadoop.hdfs.server.namenode.INodeDirectory.cleanSubtreeRecursively(INodeDirectory.java:755)
        at org.apache.hadoop.hdfs.server.namenode.snapshot.DirectoryWithSnapshotFeature.cleanDirectory(DirectoryWithSnapshotFeature.java:753)
        at org.apache.hadoop.hdfs.server.namenode.INodeDirectory.cleanSubtree(INodeDirectory.java:790)
        at org.apache.hadoop.hdfs.server.namenode.INodeReference.cleanSubtree(INodeReference.java:332)
        at org.apache.hadoop.hdfs.server.namenode.INodeReference$WithName.cleanSubtree(INodeReference.java:583)
        at org.apache.hadoop.hdfs.server.namenode.INodeDirectory.cleanSubtreeRecursively(INodeDirectory.java:760)
        at org.apache.hadoop.hdfs.server.namenode.snapshot.DirectoryWithSnapshotFeature.cleanDirectory(DirectoryWithSnapshotFeature.java:753)
        at org.apache.hadoop.hdfs.server.namenode.INodeDirectory.cleanSubtree(INodeDirectory.java:790)
        at org.apache.hadoop.hdfs.server.namenode.snapshot.DirectorySnapshottableFeature.removeSnapshot(DirectorySnapshottableFeature.java:235)
        at org.apache.hadoop.hdfs.server.namenode.INodeDirectory.removeSnapshot(INodeDirectory.java:259)
        at org.apache.hadoop.hdfs.server.namenode.snapshot.SnapshotManager.deleteSnapshot(SnapshotManager.java:301)
        at org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader.applyEditLogOp(FSEditLogLoader.java:688)
        at org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader.loadEditRecords(FSEditLogLoader.java:232)
        at org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader.loadFSEdits(FSEditLogLoader.java:141)
        at org.apache.hadoop.hdfs.server.namenode.FSImage.loadEdits(FSImage.java:903)
        at org.apache.hadoop.hdfs.server.namenode.FSImage.loadFSImage(FSImage.java:756)
        at org.apache.hadoop.hdfs.server.namenode.FSImage.recoverTransitionRead(FSImage.java:324)
        at org.apache.hadoop.hdfs.server.namenode.FSNamesystem.loadFSImage(FSNamesystem.java:1144)
        at org.apache.hadoop.hdfs.server.namenode.FSNamesystem.loadFromDisk(FSNamesystem.java:796)
        at org.apache.hadoop.hdfs.server.namenode.NameNode.loadNamesystem(NameNode.java:614)
        at org.apache.hadoop.hdfs.server.namenode.NameNode.initialize(NameNode.java:676)
        at org.apache.hadoop.hdfs.server.namenode.NameNode.<init>(NameNode.java:844)
        at org.apache.hadoop.hdfs.server.namenode.NameNode.<init>(NameNode.java:823)
        at org.apache.hadoop.hdfs.server.namenode.NameNode.createNameNode(NameNode.java:1547)
        at org.apache.hadoop.hdfs.server.namenode.NameNode.main(NameNode.java:1615)
{code}

We confirmed that fsimage and edit files were NOT corrupted, as reverting HDFS-13101 fixed the issue. So the logic introduced in HDFS-13101 is broken and failed to parse edit log files.",,arp,ayushtkn,bharat,ericlin,hudson,risyomei,shashikant,smeng,sodonnell,surendrasingh,szetszwo,weichiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/Dec/19 19:38;shashikant;HDFS-15012.000.patch;https://issues.apache.org/jira/secure/attachment/12987780/HDFS-15012.000.patch,12/Dec/19 05:51;shashikant;HDFS-15012.001.patch;https://issues.apache.org/jira/secure/attachment/12988642/HDFS-15012.001.patch,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2019-11-26 03:02:47.284,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Wed Dec 18 18:11:49 UTC 2019,,,,,,0|z08zwo:,9223372036854775807,,,,,,,
Revise PacketResponder's log.,HDFS-14945,13265460,,Bug,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Minor,Fixed,xudongcao,xudongcao,xudongcao,31/Oct/19 07:14,04/Nov/19 17:56,18/Jan/20 01:03,04/Nov/19 17:41,3.1.3,,,,,3.1.4,3.2.2,3.3.0,,,,,datanode,,,,,,0,,,"For a datanode in a pipeline, when its PacketResponder thread encounters an exception, it prints logs like below:

2019-10-24 09:22:58,212 WARN org.apache.hadoop.hdfs.server.datanode.DataNode: IOException in *BlockReceiver*.run():

 

But this log is incorrect and misleading, the right print shoud be:

2019-10-24 09:22:58,212 WARN org.apache.hadoop.hdfs.server.datanode.DataNode: IOException in *PacketResponder*.run():",,hudson,weichiu,xudongcao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/Oct/19 07:18;xudongcao;HDFS-14945.000.patch;https://issues.apache.org/jira/secure/attachment/12984447/HDFS-14945.000.patch,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2019-10-31 10:25:49.625,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Mon Nov 04 17:56:20 UTC 2019,,,,,,0|z084g0:,9223372036854775807,,,,,,,
Change Log Level to debug in JournalNodeSyncer#syncWithJournalAtIndex,HDFS-14942,13265218,,Improvement,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Minor,Fixed,leosun08,leosun08,leosun08,30/Oct/19 07:32,18/Nov/19 18:25,18/Jan/20 01:03,06/Nov/19 16:36,,,,,,3.1.4,3.2.2,3.3.0,,,,,,,,,,,0,,,"when hadoop 2.x upgrades to hadoop 3.x,  InterQJournalProtocol is newly added，so  throw Unknown protocol. 

the newly InterQJournalProtocol is used to sychronize past log segments to JNs that missed them.  And that an error occurs does not affect normal service. I think it should not be a ERROR log，and that log a warn log is more reasonable.
{code:java}
 private void syncWithJournalAtIndex(int index) {
  ...
    GetEditLogManifestResponseProto editLogManifest;
    try {
      editLogManifest = jnProxy.getEditLogManifestFromJournal(jid,
          nameServiceId, 0, false);
    } catch (IOException e) {
      LOG.error(""Could not sync with Journal at "" +
          otherJNProxies.get(journalNodeIndexForSync), e);
      return;
    }
{code}
{code:java}
2019-10-30,15:11:17,388 ERROR org.apache.hadoop.hdfs.qjournal.server.JournalNodeSyncer: Could not sync with Journal at mos1-hadoop-prc-ct17.ksru/10.85.3.59:111002019-10-30,15:11:17,388 ERROR org.apache.hadoop.hdfs.qjournal.server.JournalNodeSyncer: Could not sync with Journal at mos1-hadoop-prc-ct17.ksru/10.85.3.59:11100org.apache.hadoop.ipc.RemoteException(org.apache.hadoop.security.authorize.AuthorizationException): Unknown protocol: org.apache.hadoop.hdfs.qjournal.protocol.InterQJournalProtocol
at org.apache.hadoop.ipc.Client.getRpcResponse(Client.java:1565)
at org.apache.hadoop.ipc.Client.call(Client.java:1511)
at org.apache.hadoop.ipc.Client.call(Client.java:1421)
at org.apache.hadoop.ipc.ProtobufRpcEngine$Invoker.invoke(ProtobufRpcEngine.java:228)
at org.apache.hadoop.ipc.ProtobufRpcEngine$Invoker.invoke(ProtobufRpcEngine.java:116)
at com.sun.proxy.$Proxy16.getEditLogManifestFromJournal(Unknown Source)
at org.apache.hadoop.hdfs.qjournal.protocolPB.InterQJournalProtocolTranslatorPB.getEditLogManifestFromJournal(InterQJournalProtocolTranslatorPB.java:75)
at org.apache.hadoop.hdfs.qjournal.server.JournalNodeSyncer.syncWithJournalAtIndex(JournalNodeSyncer.java:250)
at org.apache.hadoop.hdfs.qjournal.server.JournalNodeSyncer.syncJournals(JournalNodeSyncer.java:226)
at org.apache.hadoop.hdfs.qjournal.server.JournalNodeSyncer.lambda$startSyncJournalsDaemon$0(JournalNodeSyncer.java:186)
at java.lang.Thread.run(Thread.java:748)
{code}",,ayushtkn,elgoiri,hudson,leosun08,weichiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HDFS-13023,HDFS-4025,,,,,,,,,,,,,,,,,,,30/Oct/19 07:36;leosun08;HDFS-14942.001.patch;https://issues.apache.org/jira/secure/attachment/12984343/HDFS-14942.001.patch,03/Nov/19 05:42;leosun08;HDFS-14942.002.patch;https://issues.apache.org/jira/secure/attachment/12984700/HDFS-14942.002.patch,04/Nov/19 01:56;leosun08;HDFS-14942.003.patch;https://issues.apache.org/jira/secure/attachment/12984745/HDFS-14942.003.patch,04/Nov/19 07:54;leosun08;HDFS-14942.004.patch;https://issues.apache.org/jira/secure/attachment/12984771/HDFS-14942.004.patch,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,2019-10-30 10:25:39.072,,,false,,,,,,,,,,,,,,,,,9223372036854775807,Reviewed,,,,Wed Nov 06 16:55:33 UTC 2019,,,,,,0|z082y8:,9223372036854775807,,,,,,,
DataStreamer's ResponseProceesor#run() should log with Warn loglevel,HDFS-14878,13259224,,Improvement,Patch Available,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Major,,hemanthboyina,hemanthboyina,hemanthboyina,27/Sep/19 09:48,11/Nov/19 19:32,18/Jan/20 01:03,,,,,,,,,,,,,,,,,,,,0,,,"{code:java}
  if (duration > dfsclientSlowLogThresholdMs) {
    LOG.info(""Slow ReadProcessor read fields for block "" + block
          + "" took "" + duration + ""ms (threshold=""
          + dfsclientSlowLogThresholdMs + ""ms); ack: "" + ack
          + "", targets: "" + Arrays.asList(targets));
  } {code}
log level should be warn here",,ayushtkn,brahmareddy,hemanthboyina,kihwal,surendrasingh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/Sep/19 11:25;hemanthboyina;HDFS-14878.001.patch;https://issues.apache.org/jira/secure/attachment/12981545/HDFS-14878.001.patch,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2019-09-27 10:06:56.458,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Mon Nov 11 19:32:53 UTC 2019,,,,,,0|z072u0:,9223372036854775807,,,,,,,
[Dynamometer] Cannot parse audit logs with ‘=‘ in unexpected places when starting a workload. ,HDFS-14819,13254643,13215847,Sub-task,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Major,Fixed,soyamiyoshi,soyamiyoshi,soyamiyoshi,04/Sep/19 08:12,06/Sep/19 17:14,18/Jan/20 01:03,06/Sep/19 17:14,,,,,,3.3.0,,,,,,,,,,,,,0,,,"When trying to launch a workload job, if any of the given audit logs’ values contain `=` aside from at the ends of the log’s keys (such as `ugi`, `src`), the audit log will not be parsed and an exception is thrown.

For example, this audit log will result in exception, as it contains `=` in the `src` value (“/projects/date=0822”).
 {code:|borderStyle=solid}
2019-08-22 01:00:00,186 INFO FSNamesystem.audit: allowed=true   ugi=feed (auth:aaaaa) ip=/119.472.323.333      cmd=getfileinfo	src=/projects/date=0822 dst=null
        perm=null       proto=rpc
{code}

If the second `=` in `src=/projects/date=0822` is removed, it works fine.",,soyamiyoshi,tasanuma,xkrogen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/Sep/19 08:24;soyamiyoshi;HDFS-14819.001.patch;https://issues.apache.org/jira/secure/attachment/12979371/HDFS-14819.001.patch,06/Sep/19 02:51;soyamiyoshi;HDFS-14819.002.patch;https://issues.apache.org/jira/secure/attachment/12979603/HDFS-14819.002.patch,06/Sep/19 05:22;soyamiyoshi;HDFS-14819.003.patch;https://issues.apache.org/jira/secure/attachment/12979609/HDFS-14819.003.patch,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2019-09-04 18:23:03.828,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Fri Sep 06 17:14:05 UTC 2019,,,,,,0|z06b3k:,9223372036854775807,,,,,,,
EC: Improper size values for corrupt ec block in LOG ,HDFS-14808,13254043,,Bug,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Major,Fixed,ayushtkn,Harsha1206,Harsha1206,31/Aug/19 07:29,02/Oct/19 20:54,18/Jan/20 01:03,24/Sep/19 20:17,,,,,,3.1.4,3.2.2,3.3.0,,,,,ec,,,,,,0,,,If the block corruption reason is size mismatch the log. The values shown and compared are ambiguous.,,ayushtkn,Harsha1206,hudson,vinayakumarb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/Aug/19 13:16;ayushtkn;HDFS-14808-01.patch;https://issues.apache.org/jira/secure/attachment/12979044/HDFS-14808-01.patch,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2019-08-31 07:33:31.165,,,false,,,,,,,,,,,,,,,,,9223372036854775807,Reviewed,,,,Tue Sep 24 20:21:56 UTC 2019,,,,,,0|z067qo:,9223372036854775807,,,,,,,
Log more detail for slow RPC,HDFS-14776,13252882,,Improvement,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Major,Abandoned,,zhangchen,zhangchen,25/Aug/19 16:26,25/Aug/19 16:28,18/Jan/20 01:03,25/Aug/19 16:28,,,,,,,,,,,,,,,,,,,0,,,"Current implementation only log process time
{code:java}
if ((rpcMetrics.getProcessingSampleCount() > minSampleSize) &&
    (processingTime > threeSigma)) {
  LOG.warn(""Slow RPC : {} took {} {} to process from client {}"",
      methodName, processingTime, RpcMetrics.TIMEUNIT, call);
  rpcMetrics.incrSlowRpc();
}
{code}
We need to log more details to help us locate the problem (eg. how long it take to request lock, holding lock, or do other things)",,zhangchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,,,2019-08-25 16:26:56.0,,,,,,0|z060kw:,9223372036854775807,,,,,,,
Log INFO mode if snapshot usage and actual usage differ,HDFS-14760,13251952,,Improvement,Resolved,HDFS,Hadoop HDFS,software,dhruba,Hadoop Distributed File System,https://hadoop.apache.org/,Major,Fixed,crh,crh,crh,20/Aug/19 23:26,28/Aug/19 05:39,18/Jan/20 01:03,27/Aug/19 23:20,,,,,,3.3.0,,,,,,,,,,,,,0,,,"In DirectoryWithQuotaFeature#checkStoragespace code logs in error mode without throwing any exceptions or action and pollutes logs. This should be in INFO mode.

{code}
  private void checkStoragespace(final INodeDirectory dir, final long computed) {
    if (-1 != quota.getStorageSpace() && usage.getStorageSpace() != computed) {
      NameNode.LOG.error(""BUG: Inconsistent storagespace for directory ""
          + dir.getFullPathName() + "". Cached = "" + usage.getStorageSpace()
          + "" != Computed = "" + computed);
    }
  }
{code}",,ayushtkn,crh,hudson,weichiu,xkrogen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HDFS-11705,,,,,,,,,,,,,,,,,,,,20/Aug/19 23:34;crh;HDFS-14760.001.patch;https://issues.apache.org/jira/secure/attachment/12978122/HDFS-14760.001.patch,22/Aug/19 17:21;crh;HDFS-14760.002.patch;https://issues.apache.org/jira/secure/attachment/12978318/HDFS-14760.002.patch,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2019-08-21 00:18:45.109,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Wed Aug 28 05:39:24 UTC 2019,,,,,,0|z05uuo:,9223372036854775807,,,,,,,
